table_name,state_code,distt_code,area_name,population_type,age_group,total_persons,total_males,total_females,illiterate_persons,illiterate_males,illiterate_females,literate_persons,literate_males,literate_females
C2308,00,000,INDIA,Rural,80+,7894990,3765796,4129194,5489140,2071534,3417606,2405850,1694262,711588
C2308,00,000,INDIA,Rural,Age not stated,2913452,1533420,1380032,1183642,488448,695194,1729810,1044972,684838
C2308,00,000,INDIA,Urban,All ages,377106125,195489200,181616925,96261148,42086952,54174196,280844977,153402248,127442729
C2308,00,000,INDIA,Urban,0-6,43192388,22667805,20524583,43192388,22667805,20524583,0,0,0
C2308,00,000,INDIA,Urban,7,6676796,3503597,3173199,1452958,746245,706713,5223838,2757352,2466486
C2308,00,000,INDIA,Urban,8,6761392,3564919,3196473,792064,400644,391420,5969328,3164275,2805053
C2308,00,000,INDIA,Urban,9,6310056,3334583,2975473,524904,265377,259527,5785152,3069206,2715946
C2308,00,000,INDIA,Urban,10,7864341,4189678,3674663,709484,361571,347913,7154857,3828107,3326750
C2308,00,000,INDIA,Urban,11,6889633,3643006,3246627,434836,218432,216404,6454797,3424574,3030223
C2308,00,000,INDIA,Urban,12,7287988,3856442,3431546,477061,239875,237186,6810927,3616567,3194360
C2308,00,000,INDIA,Urban,13,6790510,3539391,3251119,383814,186615,197199,6406696,3352776,3053920
C2308,00,000,INDIA,Urban,14,7072246,3702160,3370086,442933,215864,227069,6629313,3486296,3143017
C2308,00,000,INDIA,Urban,15,7305808,3866078,3439730,525846,261626,264220,6779962,3604452,3175510
C2308,00,000,INDIA,Urban,16,7158494,3774150,3384344,518861,256789,262072,6639633,3517361,3122272
C2308,00,000,INDIA,Urban,17,6768694,3595172,3173522,454428,225711,228717,6314266,3369461,2944805
C2308,00,000,INDIA,Urban,18,8398533,4502228,3896305,743829,365846,377983,7654704,4136382,3518322
C2308,00,000,INDIA,Urban,19,6992448,3674211,3318237,537542,244404,293138,6454906,3429807,3025099
C2308,00,000,INDIA,Urban,20-24,37589176,19446031,18143145,3601967,1503330,2098637,33987209,17942701,16044508
C2308,00,000,INDIA,Urban,25-29,35345695,17968219,17377476,4193291,1574556,2618735,31152404,16393663,14758741
C2308,00,000,INDIA,Urban,30-34,30683172,15726482,14956690,4386540,1565778,2820762,26296632,14160704,12135928
C2308,00,000,INDIA,Urban,35-39,29077977,14793820,14284157,5183117,1780066,3403051,23894860,13013754,10881106
C2308,00,000,INDIA,Urban,40-44,24857104,12980151,11876953,5017286,1786765,3230521,19839818,11193386,8646432
C2308,00,000,INDIA,Urban,45-49,21630099,11273844,10356255,4766700,1644550,3122150,16863399,9629294,7234105
C2308,00,000,INDIA,Urban,50-54,17037466,9053719,7983747,3914378,1355880,2558498,13123088,7697839,5425249
C2308,00,000,INDIA,Urban,55-59,13284541,6919483,6365058,3196162,966012,2230150,10088379,5953471,4134908
C2308,00,000,INDIA,Urban,60-64,11372462,5770157,5602305,3471588,1072302,2399286,7900874,4697855,3203019
C2308,00,000,INDIA,Urban,65-69,7538713,3736015,3802698,2497057,726250,1770807,5041656,3009765,2031891
C2308,00,000,INDIA,Urban,70-74,5401242,2673320,2727922,2025429,611223,1414206,3375813,2062097,1313716
C2308,00,000,INDIA,Urban,75-79,2848786,1377179,1471607,1007808,280809,726999,1840978,1096370,744608
C2308,00,000,INDIA,Urban,80+,3394015,1517899,1876116,1401307,384958,1016349,1992708,1132941,859767
C2308,00,000,INDIA,Urban,Age not stated,1576350,839461,736889,407570,177669,229901,1168780,661792,506988
C2308,01,000,State - JAMMU & KASHMIR,Total,All ages,12541302,6640662,5900640,5474069,2375991,3098078,7067233,4264671,2802562
C2308,01,000,State - JAMMU & KASHMIR,Total,0-6,2018905,1084355,934550,2018905,1084355,934550,0,0,0
C2308,01,000,State - JAMMU & KASHMIR,Total,7,270538,142123,128415,91361,45646,45715,179177,96477,82700
C2308,01,000,State - JAMMU & KASHMIR,Total,8,285314,150470,134844,59762,28675,31087,225552,121795,103757
C2308,01,000,State - JAMMU & KASHMIR,Total,9,252100,133371,118729,38753,18136,20617,213347,115235,98112
C2308,01,000,State - JAMMU & KASHMIR,Total,10,314283,166773,147510,52112,24445,27667,262171,142328,119843
C2308,01,000,State - JAMMU & KASHMIR,Total,11,282049,149261,132788,34140,15096,19044,247909,134165,113744
C2308,01,000,State - JAMMU & KASHMIR,Total,12,289798,152365,137433,32002,12876,19126,257796,139489,118307
C2308,01,000,State - JAMMU & KASHMIR,Total,13,261079,136728,124351,25759,9823,15936,235320,126905,108415
C2308,01,000,State - JAMMU & KASHMIR,Total,14,266644,139728,126916,26780,9706,17074,239864,130022,109842
C2308,01,000,State - JAMMU & KASHMIR,Total,15,270992,140502,130490,32536,11447,21089,238456,129055,109401
C2308,01,000,State - JAMMU & KASHMIR,Total,16,263041,136077,126964,32564,10834,21730,230477,125243,105234
C2308,01,000,State - JAMMU & KASHMIR,Total,17,221619,115421,106198,26748,8943,17805,194871,106478,88393
C2308,01,000,State - JAMMU & KASHMIR,Total,18,276216,141830,134386,44924,14734,30190,231292,127096,104196
C2308,01,000,State - JAMMU & KASHMIR,Total,19,205594,106532,99062,30530,9453,21077,175064,97079,77985
C2308,01,000,State - JAMMU & KASHMIR,Total,20-24,1160913,603578,557335,236770,74478,162292,924143,529100,395043
C2308,01,000,State - JAMMU & KASHMIR,Total,25-29,1086122,584559,501563,288543,91443,197100,797579,493116,304463
C2308,01,000,State - JAMMU & KASHMIR,Total,30-34,926903,495746,431157,306329,99864,206465,620574,395882,224692
C2308,01,000,State - JAMMU & KASHMIR,Total,35-39,837945,441265,396680,334354,111560,222794,503591,329705,173886
C2308,01,000,State - JAMMU & KASHMIR,Total,40-44,714085,387739,326346,329222,121203,208019,384863,266536,118327
C2308,01,000,State - JAMMU & KASHMIR,Total,45-49,590790,311560,279230,302284,110010,192274,288506,201550,86956
C2308,01,000,State - JAMMU & KASHMIR,Total,50-54,468566,255599,212967,258639,103650,154989,209927,151949,57978
C2308,01,000,State - JAMMU & KASHMIR,Total,55-59,340031,172753,167278,198533,69481,129052,141498,103272,38226
C2308,01,000,State - JAMMU & KASHMIR,Total,60-64,322726,173427,149299,215827,91666,124161,106899,81761,25138
C2308,01,000,State - JAMMU & KASHMIR,Total,65-69,203965,102743,101222,143660,56652,87008,60305,46091,14214
C2308,01,000,State - JAMMU & KASHMIR,Total,70-74,184019,97472,86547,143086,65465,77621,40933,32007,8926
C2308,01,000,State - JAMMU & KASHMIR,Total,75-79,85076,43094,41982,65613,28154,37459,19463,14940,4523
C2308,01,000,State - JAMMU & KASHMIR,Total,80+,126870,65844,61026,99121,45534,53587,27749,20310,7439
C2308,01,000,State - JAMMU & KASHMIR,Total,Age not stated,15119,9747,5372,5212,2662,2550,9907,7085,2822
C2308,01,000,State - JAMMU & KASHMIR,Rural,All ages,9108060,4774477,4333583,4360110,1882728,2477382,4747950,2891749,1856201
C2308,01,000,State - JAMMU & KASHMIR,Rural,0-6,1593008,854141,738867,1593008,854141,738867,0,0,0
C2308,01,000,State - JAMMU & KASHMIR,Rural,7,211924,111149,100775,76025,37793,38232,135899,73356,62543
C2308,01,000,State - JAMMU & KASHMIR,Rural,8,223830,117665,106165,50309,23949,26360,173521,93716,79805
C2308,01,000,State - JAMMU & KASHMIR,Rural,9,195583,102930,92653,32247,14797,17450,163336,88133,75203
C2308,01,000,State - JAMMU & KASHMIR,Rural,10,244857,129213,115644,43350,20001,23349,201507,109212,92295
C2308,01,000,State - JAMMU & KASHMIR,Rural,11,220044,115820,104224,28579,12356,16223,191465,103464,88001
C2308,01,000,State - JAMMU & KASHMIR,Rural,12,226066,118391,107675,26979,10469,16510,199087,107922,91165
C2308,01,000,State - JAMMU & KASHMIR,Rural,13,202068,105405,96663,21785,7983,13802,180283,97422,82861
C2308,01,000,State - JAMMU & KASHMIR,Rural,14,204201,106682,97519,22412,7740,14672,181789,98942,82847
C2308,01,000,State - JAMMU & KASHMIR,Rural,15,207140,106785,100355,27512,9120,18392,179628,97665,81963
C2308,01,000,State - JAMMU & KASHMIR,Rural,16,199394,102617,96777,27651,8689,18962,171743,93928,77815
C2308,01,000,State - JAMMU & KASHMIR,Rural,17,164377,85481,78896,22380,7027,15353,141997,78454,63543
C2308,01,000,State - JAMMU & KASHMIR,Rural,18,205879,105200,100679,38087,11790,26297,167792,93410,74382
C2308,01,000,State - JAMMU & KASHMIR,Rural,19,149318,77015,72303,25462,7386,18076,123856,69629,54227
C2308,01,000,State - JAMMU & KASHMIR,Rural,20-24,827361,423292,404069,197423,59389,138034,629938,363903,266035
C2308,01,000,State - JAMMU & KASHMIR,Rural,25-29,738568,385544,353024,236150,72743,163407,502418,312801,189617
C2308,01,000,State - JAMMU & KASHMIR,Rural,30-34,636137,333062,303075,247765,79317,168448,388372,253745,134627
C2308,01,000,State - JAMMU & KASHMIR,Rural,35-39,568825,294268,274557,264090,86738,177352,304735,207530,97205
C2308,01,000,State - JAMMU & KASHMIR,Rural,40-44,483222,256988,226234,260175,94929,165246,223047,162059,60988
C2308,01,000,State - JAMMU & KASHMIR,Rural,45-49,395959,205036,190923,237511,86146,151365,158448,118890,39558
C2308,01,000,State - JAMMU & KASHMIR,Rural,50-54,319992,173804,146188,204741,82496,122245,115251,91308,23943
C2308,01,000,State - JAMMU & KASHMIR,Rural,55-59,227495,114641,112854,153380,54480,98900,74115,60161,13954
C2308,01,000,State - JAMMU & KASHMIR,Rural,60-64,226005,121240,104765,169038,73350,95688,56967,47890,9077
C2308,01,000,State - JAMMU & KASHMIR,Rural,65-69,140720,70780,69940,110045,44806,65239,30675,25974,4701
C2308,01,000,State - JAMMU & KASHMIR,Rural,70-74,132084,70777,61307,111093,52813,58280,20991,17964,3027
C2308,01,000,State - JAMMU & KASHMIR,Rural,75-79,58918,29980,28938,49776,22280,27496,9142,7700,1442
C2308,01,000,State - JAMMU & KASHMIR,Rural,80+,94242,49712,44530,79064,37929,41135,15178,11783,3395
C2308,01,000,State - JAMMU & KASHMIR,Rural,Age not stated,10843,6859,3984,4073,2071,2002,6770,4788,1982
C2308,01,000,State - JAMMU & KASHMIR,Urban,All ages,3433242,1866185,1567057,1113959,493263,620696,2319283,1372922,946361
C2308,01,000,State - JAMMU & KASHMIR,Urban,0-6,425897,230214,195683,425897,230214,195683,0,0,0
C2308,01,000,State - JAMMU & KASHMIR,Urban,7,58614,30974,27640,15336,7853,7483,43278,23121,20157
C2308,01,000,State - JAMMU & KASHMIR,Urban,8,61484,32805,28679,9453,4726,4727,52031,28079,23952
C2308,01,000,State - JAMMU & KASHMIR,Urban,9,56517,30441,26076,6506,3339,3167,50011,27102,22909
C2308,01,000,State - JAMMU & KASHMIR,Urban,10,69426,37560,31866,8762,4444,4318,60664,33116,27548
C2308,01,000,State - JAMMU & KASHMIR,Urban,11,62005,33441,28564,5561,2740,2821,56444,30701,25743
C2308,01,000,State - JAMMU & KASHMIR,Urban,12,63732,33974,29758,5023,2407,2616,58709,31567,27142
C2308,01,000,State - JAMMU & KASHMIR,Urban,13,59011,31323,27688,3974,1840,2134,55037,29483,25554
C2308,01,000,State - JAMMU & KASHMIR,Urban,14,62443,33046,29397,4368,1966,2402,58075,31080,26995
C2308,01,000,State - JAMMU & KASHMIR,Urban,15,63852,33717,30135,5024,2327,2697,58828,31390,27438
C2308,01,000,State - JAMMU & KASHMIR,Urban,16,63647,33460,30187,4913,2145,2768,58734,31315,27419
C2308,01,000,State - JAMMU & KASHMIR,Urban,17,57242,29940,27302,4368,1916,2452,52874,28024,24850
C2308,01,000,State - JAMMU & KASHMIR,Urban,18,70337,36630,33707,6837,2944,3893,63500,33686,29814
C2308,01,000,State - JAMMU & KASHMIR,Urban,19,56276,29517,26759,5068,2067,3001,51208,27450,23758
C2308,01,000,State - JAMMU & KASHMIR,Urban,20-24,333552,180286,153266,39347,15089,24258,294205,165197,129008
C2308,01,000,State - JAMMU & KASHMIR,Urban,25-29,347554,199015,148539,52393,18700,33693,295161,180315,114846
C2308,01,000,State - JAMMU & KASHMIR,Urban,30-34,290766,162684,128082,58564,20547,38017,232202,142137,90065
C2308,01,000,State - JAMMU & KASHMIR,Urban,35-39,269120,146997,122123,70264,24822,45442,198856,122175,76681
C2308,01,000,State - JAMMU & KASHMIR,Urban,40-44,230863,130751,100112,69047,26274,42773,161816,104477,57339
C2308,01,000,State - JAMMU & KASHMIR,Urban,45-49,194831,106524,88307,64773,23864,40909,130058,82660,47398
C2308,01,000,State - JAMMU & KASHMIR,Urban,50-54,148574,81795,66779,53898,21154,32744,94676,60641,34035
C2308,01,000,State - JAMMU & KASHMIR,Urban,55-59,112536,58112,54424,45153,15001,30152,67383,43111,24272
C2308,01,000,State - JAMMU & KASHMIR,Urban,60-64,96721,52187,44534,46789,18316,28473,49932,33871,16061
C2308,01,000,State - JAMMU & KASHMIR,Urban,65-69,63245,31963,31282,33615,11846,21769,29630,20117,9513
C2308,01,000,State - JAMMU & KASHMIR,Urban,70-74,51935,26695,25240,31993,12652,19341,19942,14043,5899
C2308,01,000,State - JAMMU & KASHMIR,Urban,75-79,26158,13114,13044,15837,5874,9963,10321,7240,3081
C2308,01,000,State - JAMMU & KASHMIR,Urban,80+,32628,16132,16496,20057,7605,12452,12571,8527,4044
C2308,01,000,State - JAMMU & KASHMIR,Urban,Age not stated,4276,2888,1388,1139,591,548,3137,2297,840
C2308,02,000,State - HIMACHAL PRADESH,Total,All ages,6864602,3481873,3382729,1824866,729283,1095583,5039736,2752590,2287146
C2308,02,000,State - HIMACHAL PRADESH,Total,0-6,777898,407459,370439,777898,407459,370439,0,0,0
C2308,02,000,State - HIMACHAL PRADESH,Total,7,122039,63842,58197,19485,10007,9478,102554,53835,48719
C2308,02,000,State - HIMACHAL PRADESH,Total,8,117124,61593,55531,6140,2983,3157,110984,58610,52374
C2308,02,000,State - HIMACHAL PRADESH,Total,9,119100,63574,55526,4563,2289,2274,114537,61285,53252
C2308,02,000,State - HIMACHAL PRADESH,Total,10,134596,71647,62949,6175,3127,3048,128421,68520,59901
C2308,02,000,State - HIMACHAL PRADESH,Total,11,127447,67693,59754,3658,1781,1877,123789,65912,57877
C2308,02,000,State - HIMACHAL PRADESH,Total,12,125830,66799,59031,2750,1278,1472,123080,65521,57559
